from,to
mfer,motherfucker
mfg,merge from current
mfic,mother fucker in charge
mfkr,motherfucker
mflfs,married female looking for sex
mfr,motherfucker
mfrc,my fingers are crossed
mfw,my face when
mfwic,mother fucker whos in charge
mgiwjsdchmw,my girlfriend is watching jeff so don't call her my wife
mgmt,management
mhbfy,my heart bleeds for you
mhh,my head hurts
mhhm,uh huh or yeah
mhm,yes
mho,my humble opinion
mhoty,my hats off to you
mhyf,move how you feel
mia,missing in action
mic,microphone
mih,make it happen
mihap,may i have your attention please
miid,my internet is down
mil,motherinlaw
milf,mom i'd like to fuck
miltf,mom i'd like to fuck
min,minute
mins,minutes
miq,make it quick
mir,mom in room
mirl,meet in real life
misc.,miscellaneous
miself,myself
mite,might
mitin,more info than i needed
miw,mom is watching
miwnlf,mom i would not like to fuck
mk,mmm....ok
mkay,ok
mkop,my kind of place
mla,multiple letter acronym
mlas,my lips are sealed
mlc,mid life crisis
mle,emily
mlg,major league gaming
mlia,my life is amazing
mlm,multi level marketer
mlod,mega laugh out loud of doom
mlp,my little pony
mm,music monday
mmamp,meet me at my place
mmas,meet me after school
mmatc,meet me around the corner
mmatp,meet me at the park
mmb,message me back
mmbocmb,message me back or comment me back
mmd,make my day
mmha2u,my most humble apologies to you
mmiw,my mom is watching
mmk,"umm, ok"
mml,making me laugh
mml8r,meet me later
mmlfs,married man looking for sex
mmmkay,okay
mmo,massively multiplayer online
mmorpg,massively multiplayer online role playing game
mmt,meet me there
mmtyh,my mom thinks you're hot
mmw,making me wet
mmyt,mail me your thoughts
mngmt,management
mngr,manager
mnm,eminem
mnt,more next time
mo,move on
mob,mobile
mobo,motherboard
moderf***n,motherfucker
mof,matter of fact
mofo,mother fuck
moh,medal of honor
mohaa,medal of honor allied assult
mol,more or less
mompl,moment please
moo,my opinion only
moobs,man boobs
mooc,massive open online course
moos,member of the opposite sex
mop,moment please
mor,more
morf,male or female
moro,tomorrow
mos,mom over shoulder
moss,member of same sex
motarded,more retarded
motas,member of the appropriate sex
motd,message of the day
mothaf**n,motherfucker
motherfu*_ccker,motherfucker
motos,member of the opposite sex
motss,members of the same sex
mpaw,my parents are watching
mpbis,most popular boy in school
mpd,multiple personality disorder
mpfb,my personal fuck buddy
mpgis,most popular girl in school
mph,miles per hour
mpih,my penis is hard
mpty,more power to you
mra,moving right along
mrau,message received and understood
mrm,mens rights movement
mrph,mail the right place for help
msf,male seeking female
msg,message
msgs,messages
msh,me so horny
msibo,my side is busting open
msie,microsoft's internet explorer
msm,main stream media
msmd,monkey see - monkey do
msngr,messenger
msnuw,miniskirt no underwear
mssg,message
msta,must see to appreciate
mstm,makes sense to me
mstrb8r,masturbator
msv,microsoft vista
mt,empty or modified tweet
mtbf,mean time before failure
mtc,more to come
mtf,more to follow
mtfbwu,may the force be with you
mtfbwy,may the force be with you
mtg,meeting
mtherfker,mother fuck
mthrfkr,mother fuck
mtl,more than likely
mtla,my true love always
mtmmfbwy,may the micky mouse force be with you
mtr,matter
mtrfkr,motherfucker
mtsbwy,may the schwartz be with you
mtsitn,more than ships in the night
mty,empty
mu,miss you
muah,the sound of a kiss
mubar,messed up beyond all recognition
mudda,mother
mul,miss you lots
musiq,music
musl,missing you shit loads
musm,miss you so much
mutha,mother
muve,multi-user virtual environment
muvva,mother
muzik,music
mva,motor vehicle accident
mva no pi,motor vehicle accident with no personal injury
mva w/pi,motor vehicle accident with personal injury
mvto,thank you
mw2,modern warfare 2
mw3,modern warfare 3
mwah,kiss
mwbrl,more will be revealed later
mwf,married white female
mws,my wife says
mwsmirl,maybe we should meet in real life
myaly,miss you and love you
myfb,mind your fuck business
myke,man-dyke
myl,mind your language
myn,mine
myob,mind your own business
myodb,mind your own damn business
myofb,mind your own fuck business
mypl,my young padawan learner
mysm,miss you so much
myspce,myspace
myt,meet you there
n,and
n e,any
n pic,nice picture
n't,not
n-a-y-l,in a while
n/a,not applicable
n/a/s/l,"name, age, sex location"
n/c,no comment
n/m,nevermind
n/n,nickname
n/o,no offense
n/r,no replys
n/t,no text
n00b,newbie
n00bs,newbies
n00dz,nudes
n00s,news
n1,nice one
n199312,african american
n1994,african american
n2,into
n2b,not too bad
n2bb,nice to be back
n2bm,not to be mean
n2br,not to be rude
n2g,not too good
n2m,not too much
n2mh,not too much here
n2mhbu,not too much how about you?
n2mhjc,not too much here just chillin
n2mjchbu,not too much just chillin
n2mu,"not too much, you?"
n2n,need to know
n2p,need to pee
n64,nintendo 64
n8v,native
na,not applicable
na4w,not appropriate for work
naa,not at all
nab,not a blonde
nade,grenade
nadt,not a damn thing
nafc,not appropriate for children
nafkam,not away from keyboard any more
naft,not a fuck thing
nafta,north american free trade agreement
nagb,nearly almost a good bridge
nagi,not a good idea
nah,no
nak,nursing at keyboard
nalopkt,not a lot of people know that
namailu,not as much as i love you
namh,not at my house
nan,not available
nao,not as often
nascar,nonathletic sport centered around rednecks
natc,not a text conversation
natch,naturally
natm,not at the minute
nato,no action
navy,never again volunteer yourself
naw,no
naw-t,naughty
nawidt,never again will i do that
nawt,not
naww,no
nayl,in a while
naz,name
nb,not bad
"nb,p","nothing bad, parents"
nb4t,not before time
nba,national basketball association
nbd,no big deal
nbdy,nobody
nbf,never been fuck
nbfab,not bad for a beginner
nbfabs,not bad for a bot stopper
nbg,no bloody good
nbif,no basis in fact
nblfy,nothing but love for you
nbs,no bull shit
nc,no comment
ncaa,national collegiate athletic association
ncg,new college graduate
ncs,no crap sherlock
nd,and
ndit,no details in thread
ndn,indian
nds,nintendo ds
ne,any
ne-wayz,anyways
ne1,anyone
ne14kfc,anyone for kfc
ne1er,anyone here
ne2h,need to have
neday,any day
nedn,any day now
neet,not currently engaged in employment
nefing,anything
negl,not even going to lie
nei,not enough information
neida,any idea
nekkid,naked
nemore,anymore
nes,nintendo entertainment system
nesec,any second
nethin,anything
nething,anything
nev,neighborhood electric vehicle
neva,never
nevah,never
nevar,never
nevarz,never
nevm,never mind
nevr,never
newais,anyways
neway,anyway
neways,anyways
newayz,anyways
newb,someone who is new
newbie,new player
newez,anyways
news,north
nf,not funny
nfbsk,not for british school kids
nfc,no fuck clue
nfd,no fuck deal
nfe,no fucking excuses
nff,not fuck fair
nfg,not fucking good
nfi,no fuck idea
nfr,not for real
nfs,not for sale
nft,no further text
nfw,no fuck way
ng,nice game
ngaf,nobody gives a fuck
ngb,nearly good bridge
ngh,not gonna happen
ngl,not gonna lie
nh,nice hand
nhatm,not here at the moment
nhoh,never heard of himher
ni,no idea
ni4ni,an eye for any eye
ni994,nigger
nib,new in box
nic,network interface card
nice,nonsense in crappy existence
nidl,not interested
nif,non internet friend
nifoc,naked in front of computer
nifok,naked in front of keyboard
nigysob,now i've got you son of a bitch
nigyysob,now ive got you
nih,not invented here
nim,no internal message
nimby,not in my backyard
nimjd,not in my job description
nimq,not in my queue
nimy,never in a million years
nin,no its not
nino,nothing in
nip,nothing in particular
nips,nipples
nism,need i say more
nite,night
nitfm,not in the fuck mood
nitl,not in this lifetime
nitm,not in the mood
niwdi,no i won\'t do it
niywfd,not in your wildest fucking dreams
nizzle,nigger
nj,nice job
njapf,not just another pretty face
njoy,enjoy
njp,nice job partner
nk,no kidding
nkd,naked
nkt,never knew that
nld,nice lay down
nll,nice little lady
nlt,no later than
nltbro,not likely to be run over
nm,not much
nm u,"not much, you"
nmbr,number
nme,enemy
nmf,not my fault
nmfp,not my fuck problem
nmh,not much here
nmhau,nothing much how about you
nmhbu,nothing much how about you
nmhjc,not much here
nmhm,"nothing much here, man"
nmhu,"nothing much here, you?"
nmhwby,nothing much here what about you
nmjb,nothing much just bored
nmjc,"not much, just chillin'"
nmjch,nothing much just chilling
nmjcu,"nothing much, just chilling, you?"
nmjdhw,nothing much just doing homework
nmjfa,"nothing much, just fuck around"
nmnhnlm,"no money, no honey, nobody loves me"
nmp,not my problem
nmte,now more than ever
nmu,"nothing much, you"
nmw,no matter what
nmwh,no matter what happens
nn,good night
nn2r,no need to respond
nnaa,no not at all
nncimintfz,not now chief
nnfaa,no need for an apology
nnr,no not really
nnsh,night night sweet heart
nntr,no need to reply
nntst,no need to say thanks
nnww,nudge
no,not online
no praw,no problem
no pro,no problem
no1,no one
noa,not online anymore
noaa,national oceanic and atmospheric administration
noc,naked on camera
noe,know
noes,no
nofi,no flame intended
nolm,no one loves me
nomw,not on my watch
noob,someone who is new
noobie,new person
nooblet,new player
noobz0r,newbie
noodz,nude pictures
nookie,sex
nop,normal operating procedure
norwich,knickers off ready when i come home
nos,new old stock
notin,nothing
noty,no thank you
noub,none of your business
now,no way out
nowai,no way
nowin,knowing
noy,not online yet
noyb,none of your business
noygdb,none of your god damn business
np,no problem
np4np,naked pic for naked pic
npa,not paying attention
npc,non-playable character
npe,nope
npgf,no problem girl friend
nph,no problem here
npi,no pun intended
npnt,"no picture, no talk"
nps,no problems
nq,thank you
nqa,no questions asked
nqocd,not quite our class dear
nr,no reserve
nr4u,not right for you
nrg,energy
nrn,no response necessary
ns,nice
nsa,no strings attached
nsas,no strings attached sex
nsb,not sure but
nsfl,not safe for life
nsfmf,not so fast my friend
nsfu,no sex for you
nsfw,not safe for work
nss,no shit sherlock
nst,no school today
nstaafl,no such thing as a free lunch
nstlc,need some tender loving care
nt,nice try
nta,not this again
ntabom,now thats a bunch of malarkey
ntb,not to bad
ntbn,no text-back needed
nth,nothing
nthg,nothing
nthin,nothing
nthn,nothing
ntigaf,not that i give a fuck
ntim,not that it matters
ntimm,not that it matters much
ntk,need to know
ntkb,need to know basis
ntl,nonetheless
ntm,not to much
ntmk,not to my knowledge
ntmu,nice to meet you
ntmy,nice to meet you
ntn,no thanks needed
ntrly,not really
nts,note to self
ntstt,not safe to talk
ntt,need to talk
ntta,nothing to talk about
nttawwt,not that there is anything wrong with that
nttiawwt,not that there is anything wrong with that.
ntty,nice talking to you
ntw,not to worry
ntxt,no text
nty,no thank you
ntymi,now that you mention it
nu,new
nub,inexperienced person
nuff,enough
nuffin,nothing
nufin,nothing
nutin,nothing
nuttin,nothing
nv,envy
nvm,nevermind
nvmd,nevermind
nvmdt,never mind then
nvmt,nevermind that
nvng,nothing ventured
nvr,never
nvrm,nevermind
nvrmnd,never mind
nw,no way
nwal,nerd without a life
nwb,a new person
nwih,no way in hell
nwj,no way jose
nwo,new world order
nwot,new without tags
nwr,not work related
nwrus,no way are your serious
nws,not work safe
nwt,new with tags
nwtf,now what the fuck
nwy,no way
nxt,next
ny1,anyone
nyc,new york city
nycfs,new york city finger salute
nyf,not your fault
nyp,not your problem
nywy,anyway
o,oh
o rly,oh really
o&o,over and out
o.o,confused
o.p.,original poster
o/y,oh yeah
o:-),angel
oao,over and out
oaoa,over and over again
oar,on a roll
oatus,on a totally unrelated subject
oaus,on an unrelated subject
oaw,on a website
ob,obligatory
obe,overcome by events
obgjfioyo,old but good job finding it on your own
obj,object
obl,osama bin laden
obo,or best offer
obtw,"oh, by the way"
obv,obviously
obvi,obviously
obx,old battle axe
oc,original character
occ,occupation
ocd,obsessive compulsive disorder
ocgg,"oh crap, gotta go"
od,over dose
oday,software illegally obtained before it was released
odg,oh dear god
odtaa,one damn thing after another
oe,or else
oed,oxford english dictionary
of,old fart
of10,often
ofap,old fart at play
ofc,of course
ofcol,oh for crying out loud
ofn,old fuck news
oftc,out for the count
oftn,often
oftpc,off topic
ofwg,old fat white guys
og,original gangster
ogw,oh guess what
oh,overheard
oh noes,oh shit
oh noez,oh no!
ohic,oh i see
ohn,oh hell no
ohnoez,oh no
ohy,oh hell yeah
oibmpc,oops i broke my computer
oic,"oh, i see"
oicic,oh i see i see
oicu,"oh, i see you!"
oicu812,oh i see
oicwydt,"oh, i see what you did there"
oidia,oops i did it again
oink,oh i never knew
oirwis,oh i remember what i said
oiyd,only in your dreams
oj,orange juice
ojsu,"oh, just shut up!"
ok,okay
ol,old lady
oll,online love
oln,online netiquette
olo,only laughed once
olpc,one laptop per child
om,old man
omb,oh my buddha
omdb,over my dead body
omdg,oh my dear god
omdz,oh my days
ome,oh my evolution
omfd,oh my fuck days
omfg,oh my fuck god
omfgn,oh my fuck god noob
omfgsh,oh my fuck gosh
omfj,oh my fuck jesus
omfl,oh my fuck internet connection is slow
omfsm,oh my flying spaghetti monster
omfwtg,oh my fuck what the god?
omg,oh my gosh
omg's,oh my god's
omgd,oh my gosh dude
omgf,oh my fuck
omgg,oh my gosh girl
omgicfbi,oh my god i can't fuck believe it
omgih,oh my god in heaven
omgihv2p,oh my god i have to pee
omginbd,"oh my god, it's no big deal"
omgn,oh my goodness
omgny,oh my god no way
omgosh,oh my gosh
omgroflmao,oh my god roll on the floor laughing my ass off
omgsh,oh my gosh
omgty,oh my god thank you
omgukk,oh my god you killed kenny
omgwtf,"on my god, what the fuck"
omgwtfbbq,"oh my god, what the fuck"
omgwtfhax,oh my god what the fuck hacks!
omgwtfit,"oh my god, what the fuck is that"
omgwtfnipples,"on my god, what the fuck"
omgyg2bk,oh my god you got to be kidding
omgykkyb,oh my god you killed kenny you bastards
omgz,oh my god
omgzors,oh my god
omhg,oh my hell god
omik,open mouth
omj,oh my jesus
oml,oh my lord
omma,oh my aching ass
ommfg,oh my mother fuck god
omt,one more time
omw,on my way
omwh,on my way home
omwt,on my way too
omwts,on my way to school
omy,oh my!
onid,oh no i didnt
onna,oh no
onnta,oh no
onoez,oh no
onoz,oh no
onud,oh no you didn't
onyd,oh no you didn't
oo,over and out
ooak,one of a kind
oob,out of buisness
oobl,out of breath laughing
ooc,out of character
oof,out of facility
oohm,out of his/her mind
ooi,out of interest
oom,out of mana
oomf,one of my followers
oomm,out of my mind
ooo,out of the office
oos,out of stock
oot,out of touch
ootb,out of the blue
ootc,obligatory on topic comment
ootd,outfit of the day
oow,on our way
ooym,out of your mind
op,operator
orgy,orgasm
orlsx,oral sex
orly,oh really?
orpg,online role playing game
os,operating system
osbutctt,only sad bastards use this crappy text talk
osd,on screen display
osif,oh shit i forgot
osifgt,oh shit i forgot
osintot,oh shit i never thought of that
oslt,or something like that
ost,on second thought
osy,oh screw you
ot,offtopic
otasoic,owing to a slight oversight in construction
otb,off the boat
otc,off the chain
otf,on the fone
otfcu,on the floor cracking up
otfl,on the floor laughing
otflmao,on the floor laughing my ass off
otflmfao,on the floor laughing my fuck ass off
otflol,on the floor laughing out loud
otfp,on the fuck phone
otft,over the fuck top
oth,off the hook
oti,on the internet
otl,out to lunch
otoh,on the other hand
otp,on the phone
otr,on the road
ots,over the shoulder
ott,over the top
ottomh,off the top of my head
otw,on the way
ousu,oh you shut up
outa,out of
ova,over
oways,oh wow are you serious
owned,made to look bad
ownt,made to look bad
ownz,owns
ownzer,one who makes others look bad
ownzorz,owned.
owt,out
owtte,or words to that effect
oww,"oops, wrong window"
oyfe,open your fuck eyes
oyid,oh yes i did
oyo,on your own
oyr,oh yeah right
oz,australia
p,partner
p&c,private confidential
p*g,pig
p-nis,penis
p-za,pizza
p.o.b.,parent over back
p.o.s,parent over shoulder
p.o.s.,parent over shoulder
p/oed,pissed off
p/u,pick up
p/w,password
p00p,poop
p0wn,make to look bad
p2c2e,process too complicated too explain
p2p,peer to peer
p2u4uraqtp,peace to you for you are a cutie pie
p2w,pay to win
p33n,penis
p3n0r,penis
p3n15,penis
p3n1s,penis
p3r50n,person
p4p,pic for pic
p911,parent emergency (parent near)
p@w,parents are watching
p^s,parent over shoulder
pa,parent alert
pach,parents are coming home
pachs,parents are coming home soon
pae,pimpin aint easy
pag,parents are gone
pah,parents at home
pal,peace and love
panl,party all night long
pans,pretty awesome new stuff
parnts,parents
pas,parent at side
pasii,put a sock in it
patd,panic at the disco
paw,parents are watching
pax,passengers
pb,peanut butter
pb&j,peanut butter and jelly
pbb,parent behind back
pbcakb,problem between chair and keyboard
pbem,play by email
pbiab,pay back is a bitch
pbj,peanut butter and jelly
pbjt,peanut butter jelly time
pbkc,problem between keyboard & chair
pbly,probably
pbm,parent behind me
pbp,please be patient
pc,personal computer
pcbd,page cannot be displayed
pce,peace
pcent,percent
pcm,please call me
pcmcia,people cant memorize computer industry acronyms
pco,please come over
pcrs,parents can read slang
pd,public domain
pda,public display of affection
pdg,pretty damn good
pdoma,pulled directly out of my ass
pdq,pretty damn quick
pds,please dont shout
peanus,penis
pearoast,repost
pebcac,problem exists between chair and computer
pebcak,problem exists between chair and keyboard
pebkac,problem exists between keyboard and chair
pebmac,problem exist between monitor and chair
peep,people engaged and empowered for peace
peep dis,check out what i'm telling you
peeps,people
pen0r,penis
pen15,penis
penor,penis
peoples,people
perv,pervert
pewp,poop
pex,please explain?
pezzas,parents
pf,profile
pfa,please find attached
pfc,pretty fucking cold
pfm,please forgive me
pfo,please fuck off
pfos,parental figure over sholder
pfy,pimply faced youth
pg,page
ph#,phone number
ph33r,fear
ph34r,fear
phag,fuck
phail,fail
phat,pretty hot and tasty
phayl,fail
phb,pointy haired boss
phear,fear
phlr,peace hugs love respect
phm,please help me
phq,fuck you
phreak,freak
phreaker,phone hacker
phrendê ê ê ê ê ê ê friend,nan
phs,pointy haired stupidvisor
phuck,fuck
phucker,fuck
phuk,fuck
phun,fun
phux,fuck
phuxor,fuck
piab,panties in a bunch
piaps,pig in a pant suit
pibkac,problem is between keyboard and chair
pic,picture
piccies,pictures
picnic,problem in chair
pics,pictures
pif,paid in full
pihb,pee in his/her butt
piihb,put it in her butt
piitb,put it in the butt
pima,pain in my ass
pimfa,pain in my fuck ass
pimha,pain in my hairy ass
pimp,peeing in my pants
pimpl,pissing in my pants laughing
pin,personal identification number
pino,filipino
pir,parents in room
pirlos,parent in room looking over shoulder
pita,pain in the ass
pitfa,pain in the fuck ass
pitmemboam,peace in the middle east my brother of another mother
pitr,parent in the room
pitrtul,parents in the room text you later
piw,parent is watching
pix,pictures
pk,player kill
pkemon,pokemon
pker,player killer
pking,player killing
pl,parent looking
pl0x,please
pl8,plate
plac,parent looking at computer
plams,parents looking at my screen
plars,party like a rock star
platcs,parent looking at the computer screen
ple's,please
pleaz,please
pleez,please
pleeze,please
pleze,please
pliz,please
plma,please leave me alone
plmk,please let me know
plo,peace
plocks,please
plokta,press lots of keys to abort
plom,parents looking over me
plomb,parents looking over my back
ploms,parent looking over my shoulder
plos,parents looking over shoulder
plox,please
ploxxorz,please
pls,please
plse,please
plu,people like us
plur,peace
plx,please/thanks
plywm,play with me
plz,please
plzkthx,"please? ok, thank you"
plzthx,please? thanks
pm,postmeridian
pmbi,pardon my butting in
pmf,pardon my french
pmfji,pardon me for jumping in
pmfsl,piss my fuck self laughing
pmg,oh my god
pmigbom,put mind in gear before opening mouth
pmita,pound me in the ass
pmitap,pound me in the ass prison
pmji,pardon my jumping in
pml,pissing myself laughing
pmo,pissing me off
pmp,pissing my pants
pmpl,piss my pants laughing
pmsfl,pissed myself fuck laughing
pmsl,piss my self laughing
pmt,pretty much this
pnatmbc,pay no attention to man behind the curtain
pnattmbtc,pay no attention to the man behind the curtain
pnbf,potential new boy friend
pncah,please
pnd,possibly not definitely
pnhlgd,"parents not home, let's get dirty"
pns,penis
pnus,penis
po,piss off
po po,police
po'd,pissed off
po-mo,postmodern
poahf,put on a happy face
poak,passed out at keyboard
pob,parent over back
poc,piece of crap
poed,pissed off
poets,"piss off early, tomorrow's saturday"
poi,point of interest
poidnh,pics or it did not happen
pol,parent over looking
poms,parent over my shoulder
pona,person of no account
poo,poop
poontang,female genitalia
pooter,computer
pop,photo on profile
popo,police
poq,piss off quick
pos,parent over shoulder
posc,piece of shit computer
poscs,parents over sholder change subject
posmbri,parent over shoulder might be reading it
posslq,persons of the opposite sex sharing living quarters
potato,person over thirty acting twenty one
potc,pirates of the caribbean
pots,plain old telephone service
potus,president of the united states
pov,point of view
pow,prisoner of war
pp,pee pee
ppl,people
ppls,people
pplz,people
ppor,post proof or recant
ppppppp,prior proper planning prevents piss poor performance
pr0,professional
pr0n,porn
pr0nz,porn
prblm,problem
prd,period
preggers,pregnant
prego,pregnant
prfct,perfect
prn,porn
prncpl,principal
prncss,princess
prnoscrn,porn on screen
pro,professional
prob,problem
probly,probably
probz,probably
prod,product
prolly,probably
prollz,probably
promos,promotions
pron,porn
proxie,proxy
prp,please reply
prsn,person
prt,please retweet twitter
prty,party
prv,private
prvrt,pervert
prw,parents are watching
ps,post script
ps1,play station 1
ps2,play station 2
ps3,play station 3
psa,public service announcement
psbms,parent standing by my side
psl,pumpkin spice latte
psn,playstation netwok
pso,product superior to operator
psos,parent standing over sholder
psp,playstation portable
pssy,potty
pst,please send tell
pt33n,preteen
ptb,please text back
ptbb,pass the barf bag
ptfo,passed the fuck out
pth,prime tanning hours
pthc,preteen hardcore
ptl,praise the lord
ptmm,please tell me more
pto,personal time off
ptoyed,please turn off your electronic devices
ptp,pardon the pun
ptpop,pat the pissed off primate
ptw,play to win
pu,that stinks
puh-leaze,please
purty,pretty
puter,computer
pvp,player versus player
pvt,pervert
pw,parent watching
pwas,prayer wheels are spinning
pwb,potty whipped bitch
pwcb,parents watching close by
pwd,password
pwms,playing with myself
pwn,to dominate
pwn3d,owned
pwn3r,owner
pwnage,ownage
pwnd,owned
pwned,made to look bad
pwner,owner
pwnr,owner
pwnt,owned
pwnz,owns
pwnzor,owner
pwob,parent watching over back
pwoms,parent watching over my shoulder
pwor,power
pwos,parent was over sholder
pwp,plot
pww,parents were watching
pxr,punk rocker
pydim,put your dick in me
pyfb,pay your fucking bill
pyfco,put your freaking clothes on
pyt,pretty young thing
pz,peace
pzled,puzzled
q,question
q2c,quick to cum
q33r,queer
q416,quarter 4 in 2016
q4u,question for you
qc,quality control
qed,i've made my point
qfe,quoted for emphasis
qfmft,quoted for motherfucker truth
qft,quoted for truth
qft&gj,quoted for truth and great justice
qix,quick
ql,cool
qls,reply
qltm,quietly laughing to myself
qna,question and answer
qool,cool
qoolz,cool
qotd,quote of the day
qotsa,queens of the stone age
qoty,quote of the year
qpr,quite pathetic really
qpwd,quit posting while drunk
qq,crying eyes
qs,quit scrolling
qt,cutie
qt3.14,cutie pie
qte,cutie
qtpi,cutie pie
qyb,quit your bitching
r,are
r u da?,are you there
r u goin?,are you going
r u there?,are you there
r&d,research development
r&r,rest relaxation
r-tard,retard
r.i.p,rest in peace
r.i.p.,rest in peace
r0x0rz,rocks
r2f,ready to fuck
r8,rate
r8p,rape
r8pist,rapist
r8t,rate
ra2,red alert 2 (game)
ra3,red alert 3 (game)
raebnc,read and enjoyed
raf,random as fuck
rafo,read and find out
rak,random act of kindness
raoflmao,rolling around on floor laughing my ass off
rat,remotely activated trojan
rawk,rock
rawks,rocks
rawr,roar
rb@u,right back at you
rb@ya,right back at ya
rbau,right back at you
rbay,right back at you
rbm,right behind me
rbtl,read between the lines
rbty,right back to you
rbu,rainbows
rc,remote control
rci,rectal cranial inversion
rcks,rocks
rcsa,right click save as
rcvd,received
rdv,readers digest version
rdy,ready
re,regarding
re/rehi,hello again
reefer,marijuana
refl,rolling on the floor laughing
rehi,hello again
rele,really
rents,parents
rentz,parents
rep,to represent
reppin,representing
reso,reservation
retrotextual,one who is using out of date words and abbreviations while texting.
rfd,request for discussion
rff,really fuck funny
rflmao,rolling on the floor laughing my ass off
rfn,right fuck now
rfp,request for proposal
rfr,really fucking rich
rfs,really fucking soon
rgds,regards
rgr,roger
rhcp,red hot chilli peppers
rhgir,really hot guy in room
rhip,rank has its privileges
rhk,roundhouse kick
rhs,right hand side
ri&w,read it and weep
ricl,rolling in chair laughing
rifk,rolling on the floor laughing
rihad,rot in hell and die
rimjs,really im just saying
rino,republican in name only
rite,right
ritjive,non virgin
riyl,recommended if you like
rjct,reject
rkba,right to keep and bear arms
rl,real life
rlbf,real life boy friend
rlco,real life conference
rlf,real life friend
rlg,really loud giggle
rlgf,real life girl friend
rlly,really
rln,real life name
rly,really
rlz,rules
rlze,realize
rm,room
rmao,rolling my ass off
rmb,rings my bell
rme,rolling my eyes
rmetth,rolling my eyes to the heavens
rmlb,read my lips baby
rmma,reading my mind again
rmmm,read my mail man
rmr,remember
rmso,rock my socks off
rn,right now
rnn,reply not necessary
rnt,aren't
rny,rainy
ro,rock out
rockr,rocker
rodger,affirmative
rofalol,roll on the floor and laugh out loud
rofc,rolling on floor crying
roffle,rolling on the floor laughing
roffle out loud,rolling on the floor laughing out loud
rofflecake,rolling on the floor laughing
rofflecopters,rolling on the floor with laughter
roffleol,rolling on the floor laughing out loud
roffles,rolling on floor laughing
rofflmfao,rolling on the floor laughing my fuck ass
rofl,rolling on the floor laughing
rofl&pmp,rolling on floor laughing and peeing my pants
roflao,rolling on the floor laughing my ass off
roflastc,rolling on floor laughing and scaring the cat
roflcopter,rolling on the floor laughing
roflcopters,"rolling on the floor laughing, very funny."
roflkmd,rolling on the floor laughing kicking my dog
rofllh,rolling on the floor laughing like hell
roflmao,rolling on the floor laughing my ass off
roflmaoapimp,rolling on the floor laughing my ass off and peeing in my pants
roflmaoastc,rolling on floor laughing my ass off and scaring the cat
roflmaool,rolling on the floor laughing my ass off out loud
roflmaopmp,"rolling on the floor, laughing my ass off, pissing my pants"
roflmaouts,rolling on floor laughing my fuck ass off unable to speak
roflmaowpimp,rolling on floor laughing my ass off while peeing in my pants
roflmbfao,rolling on floor laughing my big fat ass off
roflmbo,rolling on floor laughing my butt off
roflmfao,rolling on the floor laughing my fuck ass off
roflmfaopimp,rolling on the floor laughing my fuck ass off pissing in my pants
roflmfaopmp,rolling on flor laughing my fuck ass of peeing my pants
roflmgao,rolling on the floor laughing my gay ass off
roflmgdao,rolling on the floor laughing my god damn ass off
roflmgdmfao,roling on floor laughing my god damn mother fuck ass off
roflmgo,rolling on floor laughing my guts out
roflmho,rolling on the floor laughing my head off
roflmiaha,rolling on the floor laughing myself into a heart attack
roflmmfao,rolling on the floor laughing my mother fuck ass off
roflol,rolling on floor laughing out loud
roflolbag,rolling on the floor laughing out loud busting a gut
roflpimp,rolling on the floor laughing pissing in my pants
roflpmp,rolling on the floor laughing peeing my pants
roflwtime,rolling on the floor laughing with tears in my eyes
rofpml,rolling on the floor pissing myself laughing
rofwl,rolling on the floor while laughing
roger,affirmative
rogl,rolling on ground laughing
roglmfao,rolling on ground laughing my fuck ass off
roi,return on investment
roids,steroids
roj,affirmative
rol,rolling over laugihng
rolmao,rolling over laughing my ass off
rolmfao,rolling over laughing my fuck ass off
romalsh,rolling on my ass laughing so hard
rombl,rolled off my bed laughing
rong,wrong
roofles,rolling on the floor laughing
ror,raughing out roud
rotf,rolling on the floor
rotfalol,roll on the floor and laugh out loud
rotffl,roll on the fuck floor laughing
rotfflmao,rolling on the fuck floor laughing my ass off
rotfflmfao,rolling on the fuck floor laughing my fuck ass off
rotfl,rolling on the floor laughing
rotflaviab,rolling on the floor laughing and vomiting in a bucket
rotflmao,rolling on the floor laughing my ass off
rotflmaofaktd,rolling on the floor laughing my ass off farted and killed the dog
rotflmaool,rolling on the floor laughing my ass off out loud
rotflmaostc,rolling on the floor laughing my ass off scaring the cat
rotflmbo,rolling on the floor laughing my butt off
rotflmfao,rolling on the floor laughing my fuck ass off
rotflmfaopimp,rolling on the floor laughing my fuck ass off peeing in my pants
rotflmfaopmp,rolling on the floor laughing my ass off pissin my pants
rotflmfho,rolling on the floor laughing my fuck head off
rotflmho,rolling on the floor laughing my head off
rotflmmfao,rolling on the floor laughing my mother fuck ass off
rotflol,rolling on the floor laughing out loud
rotfpm,rolling on the floor pissing myself
rotfwlmao,rolling on the floor while laughing my ass off
rotg,rolling on the ground
rotgl,roll on the ground laughing
rotglmao,rolling on the ground laughing my ass off
rotm,right on the money
rotw,rest of the world
rowyco,rock out with your c**k out
rox,rocks
roxor,rock
roxorz,rocks
roxxor,rock
rp,roleplay
rpg,role-playing game
rpita,royal pain in the ass
rplbk,reply back
rpo,royally pissed off
rq,real quick
rr,rest room
rrb,restroom break
